Photometry,Sector,RV group,Likelihood,Log S0,Log Q,Log w0,Offset,Inc - S0,Inc + S0,Inc - Q,Inc + Q,Inc - w0,Inc + w0,Inc - Offset,Inc + Offset,RMS
TESS_18_0,All,1597.62,51.26487902071841,-11.737433828338858,3.567036424998476,5.702993247182693,0.08150349763172812,0.5452121313442362,0.5750698478045546,0.9765927981429492,1.3632058244348815,0.03795323814102858,0.034106644243326656,0.016801924225329695,0.01697473987861764,0.07429895458608697
TESS_18_0,All,2569.81,35.90066600499241,-10.32245013949975,2.0787648374253647,5.77185326503791,0.13109079950985533,0.6261539546883803,0.7666613063345462,0.8956910788150088,1.2701963387078794,0.08498479360712174,0.07196770937644459,0.041188529833372775,0.04171989063985643,0.07260605004297499
TESS_18_0,All,2583.88,47.92479975224225,-11.533096659757753,3.495587477822954,5.760245307078129,0.09238986383362818,0.6309548483735039,0.6362554605220083,0.8469521413292469,0.9882380774184645,0.024066019152988893,0.023877177120249726,0.022279798514709057,0.02329245133779799,0.06874179290349677
TESS_18_0,All,2685.7,38.562508953857694,-11.358052489950353,4.607737875988754,5.711213769659198,0.025464594077408184,0.586131933356997,0.6088917075355234,1.0889676635997803,1.4337516384673803,0.02113599871457339,0.021267295557504617,0.02502649046569375,0.024831485916296955,0.05572971598848169
TESS_18_0,All,2694.56,40.83148971656502,-11.99920875511937,4.117707159436196,5.776203006732111,0.09870796131805283,0.8751842450374614,0.7809506048005055,1.2186348534856708,1.5912587334281216,0.03642588009551595,0.030033697874425336,0.020583077009580508,0.01914142733261101,0.05518042356682095
TESS_18_0,All,2707.08,86.64804750481152,-10.459326210906173,2.4524134754231186,5.599876678462298,0.1990998519339695,0.40826523826448735,0.470788320631474,0.6915250416695233,0.8725491232208871,0.05595513592899337,0.053671052148180465,0.02604145844852962,0.026567098046165416,0.06232375872577989
TESS_18_0,All,2985.24,78.38588244492658,-11.664761402072475,3.297874157099078,5.644308337032074,-0.01248782495894795,0.6495915308669034,0.6408077811112332,0.8233235364960039,0.9301408111227705,0.038761780491004316,0.03606726511049452,0.02052272279274424,0.019398186839951974,0.09590672969139256
TESS_18_0,All,3344.74,44.462654738388046,-11.153275241586467,3.698828521471274,5.790799645388959,-0.15992066844521224,1.0774448784217245,1.2252951736833833,1.4424065333207254,1.6559997251293606,0.0660143829271167,0.05165552119848016,0.03678829171391862,0.03944073883952369,0.06760844321152118
TESS_18_0,All,3668.0,122.92365927563449,-10.941793408296446,3.107117626400486,5.69410679429681,0.10595270124980719,0.40797530091318635,0.4459284402652699,0.7096735184444487,0.9020761189766535,0.03346212674756188,0.03191998513548189,0.020962739104465555,0.02075729478923502,0.06724354669742391
TESS_18_0,All,3712.63,141.4994201951157,-10.091871229172643,2.9052791469815884,5.667436991686605,0.09958462064262583,0.3505907262919301,0.3912590999390879,0.6077781185155096,0.7165727692802153,0.030015673984752134,0.028796799276180174,0.025718231088717333,0.025255662278122454,0.06801912233112335
TESS_18_0,All,3770.45,833.9891570181214,-10.991832884650268,2.9647732599457255,5.664911795647123,0.08141630730151353,0.15636491359470384,0.16073960905831974,0.3092055386682584,0.3528644514050825,0.011975259381049597,0.01229838340260958,0.007994697278433771,0.008032666920329265,0.05597232445112232
TESS_18_0,All,3849.51,42.470507576714915,-10.82502884173737,3.334862387693545,5.734307420104887,0.15111747094302708,0.45545779443308376,0.5097859065493875,0.9925866963273209,1.4088881264596997,0.040156342451556526,0.04034301737547885,0.0230431515557398,0.023174006311535572,0.049097789468167695
TESS_18_0,All,4007.84,-78.16779573620578,-10.978519203268505,2.5116217958676215,5.776131014011648,0.013409280785360926,0.50593450115257,0.5461792315503224,0.7907717992757783,1.1610274438981198,0.04474054419347784,0.04612563693416494,0.021308424833886598,0.021710193207792168,0.11999149576911611
TESS_18_0,All,4037.19,528.1497311761414,-11.048885885442896,3.362400944419429,5.706132383920259,0.034516057599387084,0.13051522858387798,0.13171760256268072,0.36256365481671127,0.45669513693670627,0.009960933137156402,0.010110665673559005,0.006620820924453808,0.006850493538168113,0.05227133938742347
TESS_18_0,All,4064.77,70.72036892182543,-10.846923823226497,3.7440896629649147,5.698099011451632,-0.058219956817784385,0.4140036948131236,0.45488475692464725,0.950206393116007,1.3487809574569747,0.03244247880616502,0.0313119014080927,0.023693313139620864,0.023984084604071275,0.07824856344158128
TESS_18_0,All,4094.64,794.6223536339456,-10.611541844649182,3.0460933934026553,5.724451474410184,-0.043389453955052684,0.11474500357014072,0.11963931790286075,0.33486401645962305,0.4377805602134881,0.010496802133605598,0.01044115041460536,0.007212021125762608,0.007176221451571929,0.050505187052565466
TESS_18_0,All,4207.68,372.9759890202781,-10.866328350829898,3.3029746126105763,5.718195113011567,-0.03434159993088526,0.17521131072042628,0.18640794771944513,0.4172927291486417,0.5441833102764,0.011259804115104188,0.01154170013108402,0.010155192646571734,0.009991216881528195,0.05583428845640311
TESS_18_0,All,4233.6,716.8186872739234,-10.862956986861771,2.8299820955234893,5.714796780711271,-0.07208135569466607,0.13111788389111112,0.13469696073170567,0.24765649121967037,0.28178845062385216,0.010612604519362634,0.010639002641545048,0.007284495883888631,0.00738419866037443,0.05852870459907856
TESS_18_0,All,4525.58,160.5948808756615,-10.473729696753278,3.247174528946755,5.702878297925029,-0.09318359940083648,0.2892831799831086,0.32167397551926946,0.7744474219566766,1.2179897952630236,0.02889057051216959,0.027701665092124017,0.020663571074378273,0.02104760574388846,0.0669599516205678
TESS_18_0,All,4787.42,127.15127423582902,-9.944804315831767,2.3090448973941973,5.712251887740981,0.004045219902023269,0.2163332246942371,0.23276025531219702,0.3772001864272079,0.48004680946358125,0.02337818868297603,0.02304139516526771,0.017243323779312623,0.017195655056572924,0.0572053511614794
TESS_18_0,All,4828.73,777.0811677740435,-10.701805771328061,2.4271209390884136,5.7274088503572536,0.02948415563275942,0.12968463022315646,0.1344871176269571,0.2863455888266113,0.3616623777936252,0.01461010216969072,0.014274717931454184,0.008179887561712389,0.0080285010827182,0.050201150890844246
TESS_18_0,All,4907.33,313.44887978060376,-11.054322603136047,3.209741938669513,5.704677012225045,0.05236165660344376,0.2417657437842351,0.2570395268549799,0.4596383740780112,0.5630869181582545,0.01861211103566962,0.01853448647410172,0.01266276448088402,0.012330835258111725,0.058333738892285575
TESS_18_0,All,4922.58,552.5086807503395,-11.065504611036545,2.9938362369167852,5.767044206329538,0.06403303867170322,0.16255213772888588,0.17371133432185282,0.39064557299606895,0.5071848146987965,0.014219899667390123,0.014140056683991986,0.008771821146874331,0.008765636289203974,0.05872968687265029
TESS_18_1,All,544.4,161.8295618557436,-11.270829427109408,2.95797808058771,5.72996564623506,-0.07947558637304003,0.3274437540408943,0.34953139438763436,0.5431369149749128,0.6317659841314245,0.026919444482510713,0.026283273308084887,0.014701118536716615,0.014778904408190657,0.058016673885966055
TESS_18_1,All,780.71,43.93220486671335,-12.481875494670359,4.578601359234637,5.671611050344449,-0.06215873356812185,1.086948305645329,0.9696569173046932,1.4074929301582286,1.7743381453951983,0.03289650896927743,0.02777193231412234,0.018498694110530622,0.017248423931667207,0.038414552206415
TESS_18_1,All,799.71,68.94375481022169,-11.424321774891437,4.173914390728589,5.572947353066986,-0.06814869869227266,0.5477111430639692,0.5663587782291941,1.049909057398522,1.3957411429080482,0.03404546193651026,0.03348074663718936,0.018398056963060253,0.018749912930845,0.05715224956760464
TESS_18_1,All,829.66,59.94166135992215,-10.793995162648514,3.3833533739957025,5.688654470791768,-0.20031952497941455,0.43970855917927487,0.4707500834953322,0.8263490314878821,1.2487330199194782,0.025492689414038594,0.02510149030366815,0.02511359612511313,0.024849176440700033,0.06612231844007727
TESS_18_1,All,851.32,128.2612816760447,-10.308037360076085,2.564850820602146,5.63109027798529,-0.13306739320869218,0.32778833861121726,0.3631620520911696,0.6298898250910394,0.8221189904508139,0.041860472952093275,0.038136476155347765,0.02268109359240625,0.022926104377094608,0.052013336778048945
TESS_18_1,All,913.54,72.82463862451036,-11.952562765173164,4.3498014473769375,5.67955103351023,-0.0846641739996582,0.532986205484212,0.5343324821291358,1.0552976207104314,1.4128826403152148,0.021512289857766653,0.02153493155888242,0.014440175281264553,0.014521569439042176,0.042155419689932354
TESS_18_1,All,1131.79,56.562937466395354,-10.673317230038833,2.6395898866254823,5.6390324727400145,0.003490253796801115,0.42520481159507284,0.495590707754765,0.7641429023283348,1.1400742008938378,0.04349678580305216,0.06615808345736163,0.027367557710191046,0.027678069696231482,0.03869682439735755
