Photometry,Sector,RV group,Likelihood,Log S0,Log Q,Log w0,Offset,Inc - S0,Inc + S0,Inc - Q,Inc + Q,Inc - w0,Inc + w0,Inc - Offset,Inc + Offset
TESS_18_19,All,4922.58,-3141.6411765850544,2.751453345685494,2.9924357566298587,5.767282734762976,64.02255875850386,0.16540765126797474,0.1768096948135356,0.40211135051350766,0.5104980358523674,0.01435481263105487,0.014312871306723984,9.038485067135525,8.808800183335777
TESS_18_19,Sector1,544.4,-971.5666250806155,2.54784326520533,2.944273440256745,5.7301504361012014,-79.49158332668367,0.33183780430499255,0.3499758326981999,0.5319114872655581,0.6187029767891481,0.02675921065962239,0.026530582747444242,14.75750769930599,15.099769227587089
TESS_18_19,Sector1,780.71,-197.3583306130633,1.3176419348474975,4.57967179618581,5.67165399366292,-62.49225888521313,1.0950916075260666,0.9716872212651884,1.4036390200678395,1.7473101050859334,0.032557309601617845,0.02781026295679645,18.319407238938467,17.337022485258046
TESS_18_19,Sector1,799.71,-371.9701100340477,2.391886308970878,4.2044279783832685,5.5724395462319425,-68.17427696189083,0.5446473238878751,0.5648496104966148,1.072879476270646,1.4259571977409253,0.034367050652070574,0.033543852684432274,18.47686743107431,18.648127772912844
TESS_18_19,Sector1,829.66,-437.9715958750313,3.020176427767925,3.379270052316847,5.6892303883123,-199.91899411962117,0.43848513673400413,0.47242879172048324,0.8275853673080134,1.2542737334252578,0.025752731669356876,0.02525053439431524,25.081757967963796,24.807311073135764
TESS_18_19,Sector1,851.32,-772.7137987077426,3.5072840764700075,2.5550605305705596,5.630297297427872,-132.98746381601939,0.32840029582058694,0.3698413633041193,0.6273162634398273,0.8142238889773945,0.041284547370744384,0.03841913721643042,23.00328029141633,23.06335999724797
TESS_18_19,Sector1,913.54,-349.24276458675024,1.8623543507342135,4.357973112267718,5.679426244766084,-84.54093380102692,0.536308118984901,0.5366783585568395,1.0423851861093008,1.4089201961678484,0.02155754030753787,0.02140933224965913,14.602118987726655,14.958416327153145
TESS_18_19,Sector1,1131.79,-317.79842460756237,3.1375110964919672,2.663429797538309,5.639879575480598,3.5770014661742753,0.4265481168284051,0.4912722737898383,0.7710169137609579,1.1440912596468449,0.042976578655401276,0.06586098788531825,27.677043499282938,27.477194601145804
TESS_18_19,Sector1,1170.7,-322.9226010250931,2.4170567210609373,2.9965341245021424,5.617697003427972,18.354686457466435,0.5771963986958022,0.660214745747941,0.9888757933670584,1.3691721821993044,0.05449143327930539,0.05043568480677685,23.377421260786242,23.029283019577058
TESS_18_19,Sector1,1519.79,-372.0352920114996,2.934602026815268,3.0038756143082095,5.764839797630378,36.75091770761168,0.4771400947276976,0.5400680812271386,0.9448951984601028,1.3521508921224248,0.04854324040475788,0.04858071576487433,24.081966239203865,23.929364995896094
TESS_18_19,Sector1,1566.7,-760.7731648688896,2.839412328974748,1.9504897791883706,5.599485054106645,149.3512128030859,0.37187720326191176,0.4082486551663296,0.5704141983716455,0.7416962842034194,0.05411045156001215,0.053647186348923626,15.786575123253016,16.09077245482746
TESS_18_19,Sector1,1597.62,-387.6315650997327,2.0771447398723955,3.571714420813737,5.702847295234664,81.44077829219597,0.5430480015631507,0.5807252759552091,0.984302366605684,1.3800800142901215,0.03745342383108863,0.03414570194708766,16.600631195429145,17.441680614459415
TESS_18_19,Sector1,2569.81,-312.5355700354239,3.4883354665471367,2.1049261751266606,5.773150861776745,130.15433496593482,0.6309044229056604,0.7575909816653943,0.9091389972797033,1.2818145561467489,0.0850619723829027,0.07058868308379829,41.09295615870661,42.13324205941865
TESS_18_19,Sector1,2583.88,-396.99857567942627,2.2746151964394494,3.510722931552527,5.760619638813573,92.12708890407123,0.6305680942643499,0.6373980235722447,0.8496655800217803,0.9753767474527137,0.0239438597828201,0.02352936053608179,22.334078785428588,23.01447030465016
TESS_18_19,Sector1,2685.7,-257.6831965888486,2.460581571992681,4.604835917914367,5.711169693968639,25.50220841074597,0.589522813552013,0.6089816462762494,1.0957550263596998,1.4554178689647745,0.021004319077398748,0.02113087180466966,25.08010377613957,24.531078025745952
TESS_18_19,Sector1,2694.56,-234.49678534817255,1.8093407612303782,4.140021844090551,5.777014548185496,98.80040151764675,0.8816372057697681,0.7860708020915588,1.2318768463676282,1.6091535284003022,0.03667176358330959,0.030346783014298495,20.227970095879726,19.034462541348418
TESS_18_19,Sector1,2707.08,-605.9308694057604,3.356335323032573,2.450791161282292,5.601090738192942,199.1954775035228,0.410263555157397,0.4738116307226181,0.6946333618782452,0.8807913378504182,0.057094990807075696,0.05333923421743236,25.735126952695282,26.605976678173306
TESS_18_19,Sector1,2985.24,-731.1301856206215,2.148244171752906,3.307947880574938,5.64385891872308,-12.838444013113861,0.6680799466200804,0.6438447479387093,0.8185336703165751,0.9268881125873119,0.03935729296744839,0.036609032106364126,20.299140125767988,19.48892543640841
