# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
HD 120084 b	Confirmed				4.5						2082.0	35.0	24.0	4.3			0.66	0.1	0.14					2013	2014-05-25	117.0	9.0	12.0	2450774.0	61.0	80.0																															Published in a refereed paper	Radial Velocity					HD 120084	205.7167	78.0617	5.91					97.7	4.7	4.7	0.09	0.05	0.05	2.39	0.3	0.06	9.12	0.61	0.65	G7 III				4892.0	22.0	22.0			
HD 121504 b	Confirmed				1.22						63.33	0.03	0.03	0.33			0.03	0.01	0.01				0.007437	2003	2009-10-05	265.0	12.0	12.0	51450.0	2.0	2.0																															Published in a refereed paper	Radial Velocity					HD 121504	209.3208333	-56.04	7.54					44.37			0.16			1.18						G2 V	1.62			6075.0					
HD 122562 b	Confirmed				24.0	2.0	2.0				2777.0	81.0	104.0	4.1	0.2	0.2	0.71	0.01	0.01					2016	2016-02-10	306.1	1.3	1.3	2455935.0	2.0	2.0																			445.0	12.0	12.0										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 122562	210.587500007	20.881388918	7.69					53.8			0.31	0.04	0.04	1.13	0.13	0.13				G5				4958.0	67.0	67.0			
HD 124330 b	Confirmed				0.75	0.06	0.06				270.66	1.21	1.21	0.86	0.04	0.04	0.34	0.05	0.05					2021	2021-05-21	18.28	10.44	10.44	2458415.57	3.06	3.06																			22.85	1.23	1.23										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 124330	212.820833339	54.409166682	8.0					60.3	0.03	0.03										G4IV									
HD 12484 b	Confirmed				2.98	0.14	0.14				58.83	0.08	0.08	0.297	0.005	0.005	0.07	0.03	0.03					2016	2016-02-17	325.0	40.0	40.0	2456699.0	5.0	5.0																			155.0	5.0	5.0										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 12484	30.612500009	2.815833362	8.17					51.1	2.5	2.5	0.05	0.02	0.02	1.01	0.03	0.03				F8				5920.0	30.0	30.0			
HD 125390 b	Confirmed				22.16	0.96	0.96	1.08			1756.2	3.9	3.9	1.55	0.14	0.14	0.591	0.014	0.014					2018	2018-12-19	342.4	1.2	1.2	2455914.0	6.7	6.7																			373.0	16.0	16.0										Published in a refereed paper	Radial Velocity	Radial Velocity	Theoretical			HD 125390	214.53883	38.96698	8.2					154.3						1.36			6.17			G7III				4850.0					
HD 125595 b	Confirmed				0.042	0.004	0.004				9.6737	0.0039	0.0039	0.0809	0.0014	0.0014	0.0						0.002953	2009	2011-07-04																						2454435.23	0.15	0.15													Published in a refereed paper	Radial Velocity					HD 125595	215.3458333	-40.3938889	9.03					27.4	0.9	0.9	0.02	0.06	0.06	0.756	0.017	0.017				K4V	3.53	3.53	3.53	4908.0					
HD 125612 b	Confirmed				3.0						502.0	14.0	14.0	1.37			0.46	0.01	0.01				0.025937	2007	2010-12-05	41.5	1.7	1.7	54894.9	2.5	2.5																															Submitted to a professional journal	Radial Velocity					HD 125612	215.225	-17.4813889	8.31					52.82			0.24	0.03	0.03	1.1	0.07	0.07	1.05	0.08	0.08	G3V	2.1			5897.0	40.0	40.0			
HD 125612 c	Confirmed				0.058						4.1547	0.0005	0.0005	0.05			0.27	0.12	0.12				0.000947	2009	2010-12-05	103.0	23.0	23.0	54420.17	0.23	0.23																															Submitted to a professional journal	Radial Velocity					HD 125612	215.225	-17.4813889	8.31					52.82			0.24	0.03	0.03	1.1	0.07	0.07	1.05	0.08	0.08	G3V	2.1			5897.0	40.0	40.0			
HD 125612 d	Confirmed				7.2						3008.0	202.0	202.0	4.2			0.28	0.12	0.12				0.079515	2009	2010-12-05	284.0	8.0	8.0	57174.0	17.0	17.0																															Submitted to a professional journal	Radial Velocity					HD 125612	215.225	-17.4813889	8.31					52.82			0.24	0.03	0.03	1.1	0.07	0.07	1.05	0.08	0.08	G3V	2.1			5897.0	40.0	40.0			
