# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
OGLE-2012-BLG-0838 b	Confirmed	0.25	0.12	0.12										4.2	1.0	1.4								2019	2019-01-18																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2012-BLG-0838	273.004166667	-25.71166669						6620.0	850.0	850.0				0.54	0.25	0.25													
OGLE-2012-BLG-0950L b	Confirmed	0.11	0.028	0.053										2.7	0.7	0.6								2016	2017-01-31																																					Published in a refereed paper	Microlensing			 MOA-2012- BLG-527 b		OGLE-2012-BLG-0950L	272.019250002	-29.7315833596						3000.0	1100.0	800.0				0.56	0.16	0.12				M				5500.0					 MOA-2012- BLG-527
OGLE-2012-BLG-1323	Confirmed	0.0072																						2018	2018-11-21																																					Published in a refereed paper	Microlensing						270.077125006	-28.5838055676																											
OGLE-2013-BLG-0102L b	Confirmed	13.6	3.0	3.0										0.8	0.04	0.04								2014	2014-08-28																																					Published in a refereed paper	Microlensing					OGLE-2013-BLG-0102L	268.029500002	-31.6905833528	17.0					3020.0	210.0	210.0				0.097	0.011	0.011													
OGLE-2013-BLG-0132L b	Confirmed	0.29	0.13	0.16										3.6	1.2	1.4								2017	2017-07-04																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2013-BLG-0132L	269.764625001	-28.4210277896						3900.0	1300.0	1500.0				0.54	0.23	0.3													MOA-2013-BLG-148 
OGLE-2013-BLG-0341L b	Confirmed	0.00522291791209	0.00056634049649	0.00056634049649										0.702	0.022	0.022								2014	2014-07-04																																					Published in a refereed paper	Microlensing					OGLE-2013-BLG-0341L	268.029166669	-29.846111138						911.0	70.0	70.0				0.1127	0.0089	0.0089													
OGLE-2013-BLG-0578L b	Confirmed	34.0	4.0	4.0										1.16	0.11	0.11								2013	2018-11-13																																					Published in a refereed paper	Microlensing	Microlensing		OGLE-2013-BLG-0578 b		OGLE-2013-BLG-0578L	269.99937502	-29.7352500162						1160.0	110.0	110.0				0.124	0.014	0.014				M-dwarf									OGLE-2013-BLG-0578
OGLE-2013-BLG-0911L b	Confirmed	10.08	3.6	3.6										10.8	10.4	10.4								2019	2019-12-23																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2013-BLG-0911L	268.883333344	-29.253888897						3220.0	350.0	470.0				0.29	0.09	0.09													
OGLE-2013-BLG-1721L b	Confirmed	0.64	0.31	0.35										2.6	0.7	0.5								2017	2019-07-01																																					Published in a refereed paper	Microlensing	Microlensing		MOA-2013-BLG-618 b		OGL-2013-BLG-1721L	268.126541677	-30.2926944576						6300.0	1600.0	1100.0				0.46	0.23	0.26													MOA-2013-BLG-618
OGLE-2013-BLG-1761L b	Confirmed	2.8	1.5	2.5										1.8	0.5	0.5								2017	2017-03-23																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2013-BLG-1761L	268.408333346	-28.895277805	17.3					6900.0	1200.0	1000.0				0.33	0.18	0.32				M/K									
