Photometry,Sector,RV group,Frequency,PSD
TESS_18_0,All,2694.56,36.00000000052387,4.439037731620992e-06
TESS_18_0,All,2694.56,54.0000000007858,2.6460684870209074e-06
TESS_18_0,All,2694.56,72.00000000104774,3.1968240721451936e-07
TESS_18_0,All,3344.74,0.0,1.6718141878118141e-38
TESS_18_0,All,3344.74,28.800000000419097,7.550665778062667e-06
TESS_18_0,All,3344.74,57.60000000083819,6.064066793167547e-06
TESS_18_0,All,3849.51,0.0,6.430054568506977e-39
TESS_18_0,All,3849.51,11.076923077084267,7.489854741555266e-08
TESS_18_0,All,3849.51,22.153846154168534,5.104409347687477e-07
TESS_18_0,All,3849.51,33.2307692312528,2.166181815438338e-07
TESS_18_0,All,3849.51,44.30769230833707,9.957322090022515e-07
TESS_18_0,All,3849.51,55.384615385421334,5.980455508706985e-08
TESS_18_0,All,3849.51,66.4615384625056,3.3862353597447443e-06
TESS_18_0,All,4007.84,0.0,9.553223930353224e-38
TESS_18_0,All,4007.84,10.285714285863962,8.86575007194321e-06
TESS_18_0,All,4007.84,20.571428571727925,2.7912653470224638e-06
TESS_18_0,All,4007.84,30.85714285759189,1.8351833486487205e-06
TESS_18_0,All,4007.84,41.14285714345585,8.681517822048065e-06
TESS_18_0,All,4007.84,51.42857142931981,1.6008328434150576e-05
TESS_18_0,All,4007.84,61.71428571518378,7.998038298030412e-06
TESS_18_0,All,4007.84,72.00000000104774,9.54209578728367e-06
TESS_18_0,All,4064.77,0.0,1.0922519360370519e-36
TESS_18_0,All,4064.77,9.600000000139698,1.3529919334622456e-05
TESS_18_0,All,4064.77,19.200000000279395,2.061192053550303e-05
TESS_18_0,All,4064.77,28.800000000419093,2.1434335660799382e-05
TESS_18_0,All,4064.77,38.40000000055879,1.9012173000249563e-06
TESS_18_0,All,4064.77,48.00000000069849,4.856203249812365e-06
TESS_18_0,All,4064.77,57.600000000838186,1.4096744528252205e-05
TESS_18_0,All,4064.77,67.20000000097788,2.291041452236963e-06
TESS_18_0,All,4525.58,0.0,3.98050997098051e-39
TESS_18_0,All,4525.58,6.857142857242642,9.158752362525428e-07
TESS_18_0,All,4525.58,13.714285714485284,8.188418334415688e-07
TESS_18_0,All,4525.58,20.571428571727925,6.461633876223153e-07
TESS_18_0,All,4525.58,27.428571428970567,2.8027398243749363e-07
TESS_18_0,All,4525.58,34.28571428621321,2.1964536858982014e-06
TESS_18_0,All,4525.58,41.14285714345585,8.919400988615559e-07
TESS_18_0,All,4525.58,48.00000000069849,2.7427012706194993e-06
TESS_18_0,All,4525.58,54.857142857941135,9.213278287077626e-07
TESS_18_0,All,4525.58,61.71428571518378,2.8690824960939216e-07
TESS_18_0,All,4525.58,68.57142857242641,1.5534005315609937e-06
TESS_18_1,All,780.71,0.0,1.1941529913137022e-38
TESS_18_1,All,780.71,20.571428571391152,4.2237592769108384e-06
TESS_18_1,All,780.71,41.142857142782304,1.6580854708120855e-06
TESS_18_1,All,780.71,61.71428571417346,1.5700387830620119e-06
TESS_18_1,All,799.71,0.0,2.786356979731972e-38
TESS_18_1,All,799.71,11.999999999978172,1.7227417468906933e-06
TESS_18_1,All,799.71,23.999999999956344,2.4406210342027973e-07
TESS_18_1,All,799.71,35.999999999934516,1.2328635829387439e-06
TESS_18_1,All,799.71,47.99999999991269,1.5949509700080688e-06
TESS_18_1,All,799.71,59.99999999989086,1.8820985297848698e-06
TESS_18_1,All,799.71,71.99999999986903,9.540454620275036e-07
TESS_18_1,All,829.66,0.0,0.0
TESS_18_1,All,829.66,11.076923076902927,4.740944934973093e-06
TESS_18_1,All,829.66,22.153846153805855,2.9593408729606868e-06
TESS_18_1,All,829.66,33.23076923070878,4.905280565782316e-07
TESS_18_1,All,829.66,44.30769230761171,3.850113898271241e-06
TESS_18_1,All,829.66,55.38461538451464,1.1256179564593636e-05
TESS_18_1,All,829.66,66.46153846141756,1.0637613547627465e-05
TESS_18_1,All,913.54,0.0,5.787049111751019e-38
TESS_18_1,All,913.54,11.076923076902927,1.0404207021147806e-05
TESS_18_1,All,913.54,22.153846153805855,2.3763419995931185e-07
TESS_18_1,All,913.54,33.23076923070878,1.9571548237882302e-07
TESS_18_1,All,913.54,44.30769230761171,7.405777064378493e-06
TESS_18_1,All,913.54,55.38461538451464,1.9306757647519596e-06
TESS_18_1,All,913.54,66.46153846141756,2.696784493840217e-06
TESS_18_1,All,1170.7,0.0,9.287856598954523e-39
TESS_18_1,All,1170.7,16.00000000023283,3.7939557157183374e-07
TESS_18_1,All,1170.7,32.00000000046566,2.3228542826756792e-06
TESS_18_1,All,1170.7,48.00000000069849,4.909575883307589e-07
TESS_18_1,All,1170.7,64.00000000093132,1.491159779918686e-06
TESS_18_1,All,1519.79,0.0,2.786356979686357e-38
TESS_18_1,All,1519.79,12.000000000174623,1.5580856644241342e-06
TESS_18_1,All,1519.79,24.000000000349246,2.6974015825392824e-06
TESS_18_1,All,1519.79,36.00000000052387,5.732423825033726e-06
TESS_18_1,All,1519.79,48.00000000069849,2.627626077675315e-06
TESS_18_1,All,1519.79,60.000000000873115,3.930426116303681e-07
TESS_18_1,All,1519.79,72.00000000104774,1.5362449356257389e-06
TESS_18_1,All,1597.62,0.0,1.1145427918745428e-37
TESS_18_1,All,1597.62,12.000000000174623,3.217073703907116e-07
TESS_18_1,All,1597.62,24.000000000349246,3.805052362222236e-06
TESS_18_1,All,1597.62,36.00000000052387,2.801324546887049e-06
TESS_18_1,All,1597.62,48.00000000069849,1.1587158660735231e-07
TESS_18_1,All,1597.62,60.000000000873115,1.740624061787711e-06
TESS_18_1,All,1597.62,72.00000000104774,8.488852147721461e-06
TESS_18_1,All,2685.7,0.0,5.224419336911919e-39
TESS_18_1,All,2685.7,16.00000000023283,4.9160276406199836e-06
TESS_18_1,All,2685.7,32.00000000046566,4.3188064355964825e-07
TESS_18_1,All,2685.7,48.00000000069849,1.560058564012718e-07
TESS_18_1,All,2685.7,64.00000000093132,7.610835260521746e-06
TESS_18_1,All,2694.56,0.0,4.1795354695295353e-38
TESS_18_1,All,2694.56,18.000000000261934,1.1470776238160504e-05
TESS_18_1,All,2694.56,36.00000000052387,4.468935763734874e-06
TESS_18_1,All,2694.56,54.0000000007858,2.675510942972923e-06
TESS_18_1,All,2694.56,72.00000000104774,3.202809647450985e-07
TESS_18_1,All,3344.74,0.0,1.6718141878118141e-38
TESS_18_1,All,3344.74,28.800000000419097,7.539111852896054e-06
TESS_18_1,All,3344.74,57.60000000083819,6.048861528817208e-06
TESS_18_1,All,3849.51,0.0,1.6075136421267444e-39
TESS_18_1,All,3849.51,11.076923077084267,7.476499082845857e-08
TESS_18_1,All,3849.51,22.153846154168534,5.076275515356013e-07
TESS_18_1,All,3849.51,33.2307692312528,2.153499070302045e-07
TESS_18_1,All,3849.51,44.30769230833707,9.923062279383353e-07
TESS_18_1,All,3849.51,55.384615385421334,5.981565248187984e-08
TESS_18_1,All,3849.51,66.4615384625056,3.377134234735127e-06
TESS_18_1,All,4007.84,0.0,9.553223930353224e-38
TESS_18_1,All,4007.84,10.285714285863962,8.921135016709059e-06
TESS_18_1,All,4007.84,20.571428571727925,2.803426337865057e-06
TESS_18_1,All,4007.84,30.85714285759189,1.840731331058375e-06
TESS_18_1,All,4007.84,41.14285714345585,8.683118894015607e-06
