# Time Residus
1.486023553852373880e+03 4.362769917298781053e-05
1.486024942728117821e+03 -5.610663602362286895e-05
1.486026331603860854e+03 3.280580541353828039e-05
1.486027720479721211e+03 -2.678760294383408791e-05
1.486029109355464243e+03 3.521565929553993612e-05
1.486030498231207275e+03 -3.465241576572353210e-05
1.486031887107067632e+03 2.472122581753666282e-06
1.486033275982810665e+03 1.145748726405493301e-05
1.486034664858553697e+03 -3.138803157165526159e-06
1.486036053734413827e+03 -1.322840723938512042e-05
1.486037442610157541e+03 1.514893334442213302e-06
1.486038831485900573e+03 1.560645787379577598e-05
1.486040220361643833e+03 -3.103219640199217366e-05
1.486041609237387547e+03 2.283895906396438136e-06
1.486042998113246995e+03 2.529357605962623268e-05
1.486044386988990254e+03 -3.270639732300129054e-05
1.486045775864733969e+03 2.090135471755072416e-05
1.486047164740477001e+03 -3.042364391148133507e-05
1.486048553616220943e+03 2.921822864387912944e-05
1.486049942491964885e+03 -9.562631860360326641e-06
1.486051331367707007e+03 -2.201499820664309937e-05
1.486052720243450949e+03 2.054948734642181307e-05
1.486054109119194663e+03 -2.058179063357812311e-05
1.486055497995053429e+03 2.193585446419454854e-05
1.486056886870797371e+03 -1.952446632003113081e-05
1.486058275746541085e+03 4.475779212698149934e-06
1.486059664622284345e+03 2.125470229041859227e-06
1.486061053497911416e+03 -3.093224184158582801e-05
1.486062442373654449e+03 4.923571601722631641e-05
1.486063831249397708e+03 -4.379543421761944444e-05
1.486065220125141423e+03 1.519207968181390811e-05
1.486066609000884455e+03 -5.991525556359178495e-06
1.486067997876627715e+03 3.531035874027033117e-06
1.486069386752371429e+03 -4.835541046466218518e-07
1.486070775628115371e+03 -3.973089987285849389e-05
1.486072164503858403e+03 6.611288884750265993e-05
1.486073553379485020e+03 -5.877477901183869591e-05
1.486074942255228962e+03 1.346682258940301580e-05
1.486076331130971994e+03 2.150868370642822214e-05
1.486077720006715026e+03 -3.529562179460654647e-05
1.486079108882458968e+03 1.699437487923116663e-05
1.486080497758085585e+03 -6.908981884490295045e-06
1.486081886633829299e+03 -3.808743253896906822e-06
1.486083275509573014e+03 6.123472470087598651e-06
1.486084664385199176e+03 -1.688126247112453626e-05
1.486086053260942890e+03 1.640506370592653695e-05
1.486087442136686604e+03 -1.451800569940431274e-05
1.486088831012312767e+03 -7.447837959584369116e-06
1.486090219888056481e+03 2.399192240898351258e-05
1.486091608763800195e+03 -3.675006978098860344e-05
1.486092997639426812e+03 1.561738866839856854e-05
1.486094386515170754e+03 1.374820733690551577e-05
1.486095775390797371e+03 -3.301800862820503113e-05
1.486097164266540403e+03 3.455924690198841631e-06
1.486098553142167930e+03 5.223740657367414997e-06
