Time Residus STD
9.135363620000000537e+02 8.145642850054156270e+01 5.670709168213871471e-02
9.135378429999999526e+02 8.148965726938789089e+01 5.554424676930371646e-02
9.135393249999999625e+02 8.146670782557606572e+01 5.603519560401002547e-02
9.135408179999999447e+02 8.147314502287157723e+01 5.428044881459145182e-02
9.135422989999999572e+02 8.148151035227819250e+01 5.464237450300175880e-02
9.135437809999999672e+02 8.146267069973272612e+01 5.526828093641677347e-02
9.135452619999999797e+02 8.148789409242789361e+01 5.717899142364925302e-02
9.135467429999999922e+02 8.146401795740386831e+01 5.690809836049701836e-02
9.135482479999999441e+02 8.147895876360749412e+01 5.623922080207821583e-02
9.135497410000000400e+02 8.147568263920037168e+01 5.542926431254744518e-02
9.135512109999999666e+02 8.146586159946096473e+01 5.874674474897317866e-02
9.135527039999999488e+02 8.148919816210202782e+01 6.492166503691977619e-02
9.135541970000000447e+02 8.146007113339287287e+01 6.597633713724110338e-02
9.135556550000000016e+02 8.148485740205984484e+01 6.388179833576460021e-02
9.135571599999999535e+02 8.146171325350991310e+01 6.784501438749843127e-02
9.135586299999999937e+02 8.148728717714769232e+01 6.461066577073489026e-02
9.135601229999999759e+02 8.146499120071692346e+01 6.283904687789469701e-02
9.135616039999999884e+02 8.147665557454845953e+01 6.196526135087072895e-02
9.135631090000000540e+02 8.147803042344821733e+01 6.349303405509230946e-02
9.135646130000000085e+02 8.146566046948235851e+01 6.491855931121021106e-02
9.135660599999999931e+02 8.148638274096391854e+01 6.241204605825289436e-02
9.135675649999999450e+02 8.145842073301383834e+01 6.346992345624914711e-02
9.135690459999999575e+02 8.148958330547583273e+01 6.453341460198366852e-02
9.135704580000000306e+02 8.146470932036203294e+01 7.475924439836158231e-02
9.135720089999999800e+02 8.147342993520872767e+01 6.788633764124900327e-02
9.135735140000000456e+02 8.147607680672331298e+01 6.505268979969398846e-02
9.135749949999999444e+02 8.147564741043102288e+01 6.438172345085287074e-02
9.135764759999999569e+02 8.147124264697451679e+01 6.523565378370486945e-02
9.135779929999999922e+02 8.147357441373836195e+01 6.346888564527947141e-02
9.135794389999999794e+02 8.148327585891462377e+01 6.341086263545303581e-02
9.135809440000000450e+02 8.145969663079520728e+01 6.064951492455048637e-02
9.135824370000000272e+02 8.148913867504458608e+01 6.145839798865901371e-02
9.135839180000000397e+02 8.146588557551972087e+01 6.195044212106331355e-02
9.135854000000000497e+02 8.147645564549695507e+01 6.288449324809279595e-02
1.131720256999999947e+03 1.304321602812691197e+02 7.762078252488870123e-02
1.131721657000000050e+03 1.304345100875495120e+02 7.202011315204229214e-02
1.131723058000000037e+03 1.304306018219367047e+02 6.941385753636349076e-02
1.131724457999999913e+03 1.304346495983309069e+02 6.854888445778398176e-02
1.131725869999999986e+03 1.304309486084688672e+02 6.973282972604578911e-02
1.131727270999999973e+03 1.304353156883431666e+02 7.327566792266358708e-02
1.131728706000000102e+03 1.304300665818238087e+02 6.939086482480609497e-02
1.131730094999999892e+03 1.304360818540868650e+02 6.917094168603979409e-02
1.131731541999999990e+03 1.304288489764081476e+02 7.345615752581560742e-02
1.131733508999999913e+03 1.304358038202158809e+02 6.725833253732678430e-02
1.131734920999999986e+03 1.304309588111067058e+02 7.308275274329097126e-02
1.131736345000000028e+03 1.304316615163301094e+02 7.450560679294666866e-02
1.131737757000000101e+03 1.304354129122285713e+02 7.116175833917562366e-02
1.131739158000000089e+03 1.304288583379415343e+02 7.416260373518966664e-02
1.131740581000000020e+03 1.304383134130227972e+02 7.378462632393525955e-02
1.131741982000000007e+03 1.304259729984896410e+02 7.181574046270750022e-02
1.131743404999999939e+03 1.304397378547192261e+02 7.373771558840959417e-02
1.131744805999999926e+03 1.304291692647433933e+02 7.039328194283146767e-02
1.131746900999999980e+03 1.304341974736441330e+02 7.434417297370034261e-02
1.131748323999999911e+03 1.304322122491903428e+02 6.954593657374900928e-02
1.131749735999999984e+03 1.304329942796296962e+02 6.972286334930830054e-02
1.131751160000000027e+03 1.304333966172085013e+02 6.905890276111523174e-02
1.131752594999999928e+03 1.304308218394761241e+02 6.751889222276898084e-02
1.131753926000000092e+03 1.304360830012622330e+02 7.284065519601798377e-02
1.131755407999999989e+03 1.304297964500970863e+02 7.789245339047626282e-02
1.131756785000000036e+03 1.304339806406894695e+02 7.128210658437426905e-02
1.131758162999999968e+03 1.304324649585741156e+02 8.153573654776249957e-02
1.131839009000000033e+03 9.227816210377034167e+01 5.306277285264453247e-02
1.131840421000000106e+03 9.227758691053497841e+01 5.260882108865059387e-02
1.131841822000000093e+03 9.228081164170595230e+01 5.196032906631180281e-02
1.131843221999999969e+03 9.227435461054774635e+01 5.206528017962949728e-02
1.131844622999999956e+03 9.228292752313541314e+01 5.335118515997121225e-02
1.131846045999999887e+03 9.227311518252680855e+01 5.522899256141221985e-02
1.131847447000000102e+03 9.228187061380418754e+01 5.818166390127242626e-02
1.131848870000000034e+03 9.227831681831871435e+01 5.888673255890199132e-02
1.131850294000000076e+03 9.227705174209346239e+01 5.713953259157524694e-02
1.131852204000000029e+03 9.227868990340090249e+01 6.434984878152845422e-02
1.131853603999999905e+03 9.227831858890635885e+01 6.022149366016814331e-02
1.131855015999999978e+03 9.227800055751417574e+01 5.959348088810157568e-02
1.131856428000000051e+03 9.227944293444129187e+01 5.735873464872414534e-02
1.131857829000000038e+03 9.227558040364921510e+01 5.626691488477218728e-02
1.131859275999999909e+03 9.228261159554033100e+01 5.661883158435605107e-02
1.131860652999999957e+03 9.227370595346270932e+01 5.480899497199599041e-02
